name,product,ISIC rev.4 ecoinvent,CPC
"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gearbox, for lorry","gearbox, for lorry",4923:Freight transport by road,6511: Road transport services of freight
generator EPR,generator EPR,4290:Construction of other civil engineering projects,53262: Power plants
geological hydrogen storage,hydrogen storage,"2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
geothermal heat plant construction,geothermal heat plant,4290:Construction of other civil engineering projects,53262: Power plants
"glass cullets, recovered from c-Si PV module treatment","glass cullets, recovered from c-Si PV module treatment",3821:Treatment and disposal of non-hazardous waste,39990: Other wastes n.e.c.
"glass cullets, recovered from CdTe PV module treatment","glass cullets, recovered from CdTe PV module treatment",3821:Treatment and disposal of non-hazardous waste,39990: Other wastes n.e.c.
glass flake paint 35851 painting,glass flake paint 35851,2310:Manufacture of glass and glass products,35110: Paints and varnishes and related products
glass flake paint 35851 production,glass flake paint 35851,2310:Manufacture of glass and glass products,35110: Paints and varnishes and related products
glider lightweighting,glider lightweighting,0161:Support activities for crop production,86119: Other support services to crop production
gold refinery operation,gold,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
gold-silver mine operation and beneficiation,"copper concentrate, sulfide ore",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
gold-silver mine operation and beneficiation,lead concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
gold-silver mine operation and beneficiation,zinc concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
gold-silver mine operation with refinery,gold,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
gold-silver mine operation with refinery,silver,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"grain oriented electrical steel production, 0.23 mm coil","grain oriented electrical steel, 0.23 mm coil",259:Manufacture of other fabricated metal products; metalworking service activit,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.
graphite ore mining,"graphite ore, mined",0710:Mining of iron ores,"14100: Iron ores and concentrates, other than roasted iron pyrites"
graphite precursor production,grahite precursor,0899:Other mining and quarrying n.e.c.,16390: Other minerals n.e.c.
graphite production,graphite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
graphite purification,"graphite, purified",2011:Manufacture of basic chemicals,86119: Other support services to crop production
gravel and sand quarry operation,sand,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"hafnium sponge production, from hafnium tetrachloride",hafnium sponge,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"hard carbon, from pitch, for SIB battery","hard carbon, from pitch",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"hard coal briquettes, burned in stove 5-15kW",heat,"3510:Electric power generation, transmission and distribution",17300: Steam and hot water
hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,4220:Construction of utility projects,53262: Power plants
"hard coal, burned in hard coal industrial furnace 1-10MW",heat,0510:Mining of hard coal,17300: Steam and hot water
"hardwood forestry, beech, sustainable forest management","cleft timber, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, beech, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, beech, sustainable forest management","sawlog and veneer log, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, beech, sustainable forest management","wood chips, wet, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, birch, sustainable forest management","bundle, energy wood, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, birch, sustainable forest management","cleft timber, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, birch, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, birch, sustainable forest management","sawlog and veneer log, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, birch, sustainable forest management","wood chips, wet, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, eucalyptus ssp., planted forest management","cleft timber, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, eucalyptus ssp., sustainable forest management","sawlog and veneer log, eucalyptus ssp., measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, mixed species, sustainable forest management","wood chips, wet, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, oak, sustainable forest management","cleft timber, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, oak, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, oak, sustainable forest management","sawlog and veneer log, hardwood, measured as solid wood under bark",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"hardwood forestry, oak, sustainable forest management","wood chips, wet, measured as dry mass",0220:Logging,"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"HDPE production, biobased, granulate","bio-HDPE, granulate",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
"HDPE production, CCU-based","CCU-HDPE, granulate",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
HDPE tank liner,HDPE tank liner,0161:Support activities for crop production,86119: Other support services to crop production
"HDPE, chemical recycling, pyrolysis","ethylene, from HDPE pyrolysis",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
"heat and power co-generation, existing, wood chips","electricity, high voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",3530:Steam and air conditioning supply,17300: Steam and hot water
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas",3530:Steam and air conditioning supply,17300: Steam and hot water
"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",3530:Steam and air conditioning supply,17300: Steam and hot water
"heat exchanger production, for VRFB system","heat exchanger, for VRFB system",2011:Manufacture of basic chemicals,17300: Steam and hot water
